+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Paul Terry                    | 5042  | 38       | 132.68        |
| Roy Fredericks                | 5307  | 40       | 132.67        |
| Harry Wrathall                | 1194  | 9        | 132.66        |
| Larry Gomes                   | 4245  | 32       | 132.65        |
| John Waite                    | 3051  | 23       | 132.65        |
| Sadagoppan Ramesh             | 2653  | 20       | 132.65        |
| Richard Jones                 | 2520  | 19       | 132.63        |
| Willie Watson                 | 7294  | 55       | 132.61        |
| Jesse Ryder                   | 3315  | 25       | 132.60        |
| Babar Naeem                   | 1591  | 12       | 132.58        |
| Jaco Booysen                  | 928   | 7        | 132.57        |
| Owen Wynne                    | 928   | 7        | 132.57        |
| Runako Morton                 | 1856  | 14       | 132.57        |
| Colin Milburn                 | 3049  | 23       | 132.56        |
| Herbert Carpenter             | 3314  | 25       | 132.56        |
| David Sheppard                | 5965  | 45       | 132.55        |
| Marcus North                  | 4904  | 37       | 132.54        |
| Henry Foster                  | 3843  | 29       | 132.51        |
| Geoff Greenidge               | 2120  | 16       | 132.50        |
| Tom Fell                      | 795   | 6        | 132.50        |
| Russel Arnold                 | 3312  | 25       | 132.48        |
| Martin Donnelly               | 3047  | 23       | 132.47        |
| Alan Butcher                  | 6094  | 46       | 132.47        |
| George Brown                  | 4901  | 37       | 132.45        |
| Shahid Nawaz                  | 1457  | 11       | 132.45        |
| Jack Russell                  | 9404  | 71       | 132.45        |
| Emmerson Trotman              | 1192  | 9        | 132.44        |
| Brian Hone                    | 1192  | 9        | 132.44        |
| Usman Khawaja                 | 4503  | 34       | 132.44        |
| Justin Kemp                   | 2119  | 16       | 132.43        |
| Tom Moody                     | 8476  | 64       | 132.43        |
| Kamal Juneja                  | 927   | 7        | 132.42        |
| Bavanaka Sandeep              | 927   | 7        | 132.42        |
| Wesley Marshall               | 927   | 7        | 132.42        |
| Ian Blackwell                 | 3575  | 27       | 132.40        |
| Dick Duckfield                | 1324  | 10       | 132.40        |
| Asad Shafiq                   | 3310  | 25       | 132.40        |
| Riki Wessels                  | 3045  | 23       | 132.39        |
| John Dixon                    | 1721  | 13       | 132.38        |
| Craig Kieswetter              | 1456  | 11       | 132.36        |
| Barry Hadlee                  | 794   | 6        | 132.33        |
| Joshua Richards               | 1191  | 9        | 132.33        |
| Jack Rutherford               | 794   | 6        | 132.33        |
| John Commins                  | 1720  | 13       | 132.30        |
| Wayne Larkins                 | 7806  | 59       | 132.30        |
| William Kendall               | 1323  | 10       | 132.30        |
| Bunty Longrigg                | 1323  | 10       | 132.30        |
| Corey Richards                | 926   | 7        | 132.28        |
| Malcolm Waller                | 1455  | 11       | 132.27        |
| Daniel Lawrence               | 1455  | 11       | 132.27        |
| Bevan Congdon                 | 3042  | 23       | 132.26        |
| Manoj Prabhakar               | 2645  | 20       | 132.25        |
| Mohammad Ashraful             | 2777  | 21       | 132.23        |
| Ashley Metcalfe               | 3438  | 26       | 132.23        |
| Allan Border                  | 9256  | 70       | 132.22        |
| Matthew Walker                | 3702  | 28       | 132.21        |
| Sean Ervine                   | 2908  | 22       | 132.18        |
| Doug Walters                  | 5948  | 45       | 132.17        |
| Rikki Clarke                  | 2247  | 17       | 132.17        |
| Beau Webster                  | 793   | 6        | 132.16        |
| Hasan Azad                    | 793   | 6        | 132.16        |
| Snehasish Ganguly             | 793   | 6        | 132.16        |
| Aamer Bashir                  | 2114  | 16       | 132.12        |
| Pieter Koortzen               | 1057  | 8        | 132.12        |
| James Seymour                 | 6999  | 53       | 132.05        |
| Colin Ackermann               | 2377  | 18       | 132.05        |
| Mohammad Saad                 | 1452  | 11       | 132.00        |
| David Dyer                    | 1056  | 8        | 132.00        |
| Hemant Kanitkar               | 1716  | 13       | 132.00        |
| Dougie Brown                  | 1320  | 10       | 132.00        |
| Collie Smith                  | 1320  | 10       | 132.00        |
| Sohaib Maqsood                | 1320  | 10       | 132.00        |
| Ralston Otto                  | 792   | 6        | 132.00        |
| Abbas Ali                     | 2243  | 17       | 131.94        |
| Mohammad Nawaz                | 1979  | 15       | 131.93        |
| Gursharan Singh               | 1847  | 14       | 131.92        |
| Duleep Mendis                 | 1583  | 12       | 131.91        |
| Martyn Gidley                 | 1583  | 12       | 131.91        |
| Charlie Llewellyn             | 2374  | 18       | 131.88        |
| Hamish Rutherford             | 2242  | 17       | 131.88        |
| Richie Robinson               | 923   | 7        | 131.85        |
| Davey Jacobs                  | 1846  | 14       | 131.85        |
| Saleem Mughal                 | 791   | 6        | 131.83        |
| Budhi Kunderan                | 1582  | 12       | 131.83        |
| Sarfraz Ahmed                 | 1582  | 12       | 131.83        |
| Akashdeep Nath                | 791   | 6        | 131.83        |
| Avishka Gunawardene           | 1582  | 12       | 131.83        |
| Herbie Collins                | 4217  | 32       | 131.78        |
| Shakib Al Hasan               | 1054  | 8        | 131.75        |
| Anthony McGrath               | 4611  | 35       | 131.74        |
| Sachithra Serasinghe          | 3557  | 27       | 131.74        |
| Asif Mujtaba                  | 6455  | 49       | 131.73        |
| Javed Burki                   | 2898  | 22       | 131.72        |
| Christopher Stephens          | 922   | 7        | 131.71        |
| Dermot Reeve                  | 922   | 7        | 131.71        |
| Afsar Nawaz                   | 1317  | 10       | 131.70        |
| Andrew Hilditch               | 2634  | 20       | 131.70        |
| Aubrey Faulkner               | 1712  | 13       | 131.69        |
| Brendan Taylor                | 4214  | 32       | 131.68        |
| Sam Woods                     | 2502  | 19       | 131.68        |
| Sheldon Jackson               | 2502  | 19       | 131.68        |
| Andrew Symonds                | 5267  | 40       | 131.67        |
| Mark Pettini                  | 1975  | 15       | 131.66        |
| George Beldam                 | 1185  | 9        | 131.66        |
| Madhav Apte                   | 790   | 6        | 131.66        |
| Francis Ford                  | 1843  | 14       | 131.64        |
| Motganhalli Jaisimha          | 4344  | 33       | 131.63        |
| Paul Gibb                     | 2501  | 19       | 131.63        |
| Jack Robertson                | 8819  | 67       | 131.62        |
| Grant Elliott                 | 1053  | 8        | 131.62        |
| Keith Dabengwa                | 1053  | 8        | 131.62        |
| Trevor Ward                   | 3816  | 29       | 131.58        |
| Naoomal Jaoomal               | 921   | 7        | 131.57        |
| Andrew McDonald               | 1447  | 11       | 131.54        |
| Ashok Menaria                 | 1447  | 11       | 131.54        |
| Frank Laver                   | 789   | 6        | 131.50        |
| Erv McSweeney                 | 789   | 6        | 131.50        |
| Tony Cottey                   | 4076  | 31       | 131.48        |
| Rory Burns                    | 2761  | 21       | 131.47        |
| Surinder Khanna               | 2235  | 17       | 131.47        |
| Denis Smith                   | 4206  | 32       | 131.43        |
| Janaka Gunaratne              | 1840  | 14       | 131.42        |
| Adrian McLaren                | 2760  | 21       | 131.42        |
| Stephen Peters                | 4074  | 31       | 131.41        |
| Richie Richardson             | 4861  | 37       | 131.37        |
| Mike Burns                    | 1051  | 8        | 131.37        |
| Andrew Strauss                | 6043  | 46       | 131.36        |
| Asjit Jaiprakasham            | 788   | 6        | 131.33        |
| Plum Warner                   | 7880  | 60       | 131.33        |
| Nihil Soysa                   | 788   | 6        | 131.33        |
| Donald Smith                  | 2495  | 19       | 131.31        |
| Peter Nevill                  | 1313  | 10       | 131.30        |
| Lloyd Ferreira                | 919   | 7        | 131.28        |
| Keith Stackpole               | 2888  | 22       | 131.27        |
| Shoaib Mohammad               | 4988  | 38       | 131.26        |
| Gopal Bose                    | 1050  | 8        | 131.25        |
| Mahmood Hamid                 | 2887  | 22       | 131.22        |
| Greg Mail                     | 1181  | 9        | 131.22        |
| Eddie Cooper                  | 2362  | 18       | 131.22        |
| Mike Atherton                 | 7085  | 54       | 131.20        |
| Liam Dawson                   | 1312  | 10       | 131.20        |
| Tom Pearce                    | 2886  | 22       | 131.18        |
| Obus Pienaar                  | 2230  | 17       | 131.17        |
