+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| Viv Richards             | Mohsin Khan              | 2     |
| Peter Willey             | Max Walker               | 2     |
| Sarfraz Nawaz            | David Gower              | 2     |
| Sir Richard Hadlee       | David Gower              | 2     |
| Zaheer Abbas             | Kapil Dev                | 2     |
| Javed Miandad            | Allan Border             | 2     |
| John Wright              | Sir Clive Lloyd          | 2     |
| Sir Clive Lloyd          | Mudassar Nazar           | 2     |
| Sarfraz Nawaz            | Desmond Haynes           | 2     |
| Deryck Murray            | David Gower              | 2     |
| Geoff Boycott            | Alvin Kallicharran       | 2     |
| Sir Ian Botham           | Viv Richards             | 2     |
| Sir Ian Botham           | Doug Walters             | 2     |
| Greg Chappell            | Viv Richards             | 2     |
| David Gower              | Michael Holding          | 2     |
| Desmond Haynes           | Graham Gooch             | 2     |
| Rod Marsh                | Sir Clive Lloyd          | 2     |
| Geoff Boycott            | Gordon Greenidge         | 2     |
| Peter Willey             | Viv Richards             | 2     |
| David Bairstow           | Joel Garner              | 2     |
| Kim Hughes               | John Wright              | 2     |
| Dennis Lillee            | John Wright              | 2     |
| Allan Border             | Martin Snedden           | 2     |
| Mudassar Nazar           | Malcolm Marshall         | 2     |
| Allan Border             | Kirti Azad               | 2     |
| Dilip Vengsarkar         | Jeremy Coney             | 2     |
| John Wright              | Dilip Vengsarkar         | 2     |
| Sir Richard Hadlee       | Dilip Vengsarkar         | 2     |
| Sandeep Patil            | Jeremy Coney             | 2     |
| Roger Binny              | John Wright              | 2     |
| Graeme Wood              | Roger Binny              | 2     |
| Allan Border             | Sir Richard Hadlee       | 2     |
| Kim Hughes               | Jeremy Coney             | 2     |
| Rod Marsh                | Sir Richard Hadlee       | 2     |
| Greg Chappell            | John Wright              | 2     |
| Sir Richard Hadlee       | Greg Chappell            | 2     |
| John Wright              | Allan Border             | 2     |
| Sir Richard Hadlee       | Allan Border             | 2     |
| David Gower              | Desmond Haynes           | 2     |
| Mike Gatting             | Geoff Lawson             | 2     |
| Sir Ian Botham           | Kim Hughes               | 2     |
| Javed Miandad            | Geoff Lawson             | 2     |
| Wasim Raja               | Rick Darling             | 2     |
| Faoud Bacchus            | Kim Hughes               | 2     |
| Sunil Gavaskar           | Graham Gooch             | 2     |
| Javed Miandad            | Terry Alderman           | 2     |
| Rod Marsh                | Gus Logie                | 2     |
| Desmond Haynes           | Greg Chappell            | 2     |
| Dennis Lillee            | Michael Holding          | 2     |
